LONGITUDE,LATITUDE,PHOTO_URL
48.87681,39.08378,/PhotoFile4Wildfire/39.0838_48.8768_65.png
48.4481,39.8061,/PhotoFile4Wildfire/39.8061_48.4481_65.png
48.86372,39.12438,/PhotoFile4Wildfire/39.1244_48.8637_65.png
46.09393,39.63311,/PhotoFile4Wildfire/39.6331_46.0939_65.png
46.63905,41.02169,/PhotoFile4Wildfire/41.0217_46.6390_65.png
46.84278,39.29866,/PhotoFile4Wildfire/39.2987_46.8428_65.png
48.86703,39.11891,/PhotoFile4Wildfire/39.1189_48.8670_65.png
46.83783,40.12017,/PhotoFile4Wildfire/40.1202_46.8378_65.png
46.9664,39.6548,/PhotoFile4Wildfire/39.6548_46.9664_65.png
46.8607,39.7737,/PhotoFile4Wildfire/39.7737_46.8607_65.png
46.13856,39.7356,/PhotoFile4Wildfire/39.7356_46.1386_65.png
46.9923,39.66301,/PhotoFile4Wildfire/39.6630_46.9923_65.png
47.12638,39.27203,/PhotoFile4Wildfire/39.2720_47.1264_65.png
46.69797,39.47022,/PhotoFile4Wildfire/39.4702_46.6980_65.png
46.86804,39.30933,/PhotoFile4Wildfire/39.3093_46.8680_65.png
46.29827,39.6576,/PhotoFile4Wildfire/39.6576_46.2983_65.png
47.25006,39.42966,/PhotoFile4Wildfire/39.4297_47.2501_65.png
47.24092,39.42359,/PhotoFile4Wildfire/39.4236_47.2409_65.png
47.96909,39.70391,/PhotoFile4Wildfire/39.7039_47.9691_65.png
46.82382,39.17931,/PhotoFile4Wildfire/39.1793_46.8238_65.png
47.6073,39.6678,/PhotoFile4Wildfire/39.6678_47.6073_65.png
47.60478,39.7929,/PhotoFile4Wildfire/39.7929_47.6048_65.png
46.0791,39.6371,/PhotoFile4Wildfire/39.6371_46.0791_65.png
47.71641,39.81824,/PhotoFile4Wildfire/39.8182_47.7164_65.png
47.02804,39.66152,/PhotoFile4Wildfire/39.6615_47.0280_65.png
45.1702,41.0042,/PhotoFile4Wildfire/41.0042_45.1702_65.png
46.91447,39.28134,/PhotoFile4Wildfire/39.2813_46.9145_65.png
46.29876,39.73714,/PhotoFile4Wildfire/39.7371_46.2988_65.png
46.13254,39.73741,/PhotoFile4Wildfire/39.7374_46.1325_65.png
46.5659,39.4076,/PhotoFile4Wildfire/39.4076_46.5659_65.png
46.8138,39.1753,/PhotoFile4Wildfire/39.1753_46.8138_65.png
46.5868,39.3799,/PhotoFile4Wildfire/39.3799_46.5868_65.png
46.98793,39.6744,/PhotoFile4Wildfire/39.6744_46.9879_65.png
48.80088,41.21362,/PhotoFile4Wildfire/41.2136_48.8009_65.png
46.5694,39.7682,/PhotoFile4Wildfire/39.7682_46.5694_65.png
46.67635,39.10062,/PhotoFile4Wildfire/39.1006_46.6763_65.png
48.92626,39.00875,/PhotoFile4Wildfire/39.0087_48.9263_65.png
46.9629,39.5093,/PhotoFile4Wildfire/39.5093_46.9629_65.png
46.9767,39.4566,/PhotoFile4Wildfire/39.4566_46.9767_65.png
48.153,39.229,/PhotoFile4Wildfire/39.2290_48.1530_65.png
46.50791,39.34479,/PhotoFile4Wildfire/39.3448_46.5079_65.png
46.96076,39.51535,/PhotoFile4Wildfire/39.5153_46.9608_65.png
46.6561,40.2494,/PhotoFile4Wildfire/40.2494_46.6561_65.png
49.144,39.6814,/PhotoFile4Wildfire/39.6814_49.1440_65.png
46.52788,39.34276,/PhotoFile4Wildfire/39.3428_46.5279_65.png
